word,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent
brought,0.18,0.11428571428571428,0.08,0.09655172413793103,0.05333333333333334,-0.23540370370370375,-0.31001500000000004,-0.09978333333333335,-0.4022071428571428,-0.13255
close,0.07335907335907337,0.03137254901960784,0.11538461538461539,0.07722007722007722,0.08482142857142858,0.1361894736842105,-0.04396249999999996,-0.011386666666666673,-0.258195,0.10092631578947367
marine,0.029850746268656716,0.011764705882352941,0.043859649122807015,0.009433962264150943,0.0,-0.39225,-0.0258,-0.13245999999999997,0.0,0.0
campus,0.045454545454545456,0.09090909090909091,0.04878048780487805,0.046875,0.08163265306122448,0.3609,-0.5052375,-0.27115,0.3181333333333333,-0.300225
provincial,0.08823529411764706,0.0,0.06666666666666667,0.1935483870967742,0.0,-0.3818,0.0,-0.26335,-0.1038,0.0
targeting,0.18518518518518517,0.2619047619047619,0.10344827586206896,0.10606060606060606,0.0851063829787234,-0.13201999999999997,-0.11021363636363635,-0.3394,-0.059800000000000006,-0.26932500000000004
farmer,0.13157894736842105,0.29411764705882354,0.14285714285714285,0.03571428571428571,0.0625,-0.49406,-0.41335999999999995,-0.495125,-0.765,-0.2023
tell,0.06993006993006994,0.09333333333333334,0.09923664122137404,0.05625,0.11965811965811966,0.15044,0.19264285714285714,-0.05126923076923077,-0.007133333333333337,0.3303357142857143
liked,0.0,0.047619047619047616,0.1724137931034483,0.08695652173913043,0.11764705882352941,0.0,0.7506,0.41356000000000004,0.4215,0.4215
situation,0.10285714285714286,0.09923664122137404,0.029850746268656716,0.08900523560209424,0.06802721088435375,-0.24214999999999998,-0.1143076923076923,0.12769999999999998,-0.20976470588235296,-0.3294
intends,0.09523809523809523,0.26666666666666666,0.3333333333333333,0.20833333333333334,0.08695652173913043,0.0,0.080725,0.15622000000000003,0.10212000000000002,-0.1706
shelters,0.41379310344827586,0.07142857142857142,0.05555555555555555,0.17647058823529413,0.15384615384615385,-0.14314999999999997,0.0,-0.3818,-0.12726666666666667,0.0
notifications,0.12,0.16666666666666666,0.0,0.07407407407407407,0.18181818181818182,-0.22630000000000003,0.060200000000000004,0.0,0.0,-0.1897
rock,0.028985507246376812,0.03488372093023256,0.024096385542168676,0.07339449541284404,0.025974025974025976,-0.5710000000000001,-0.16496666666666668,-0.0618,-0.49231249999999993,0.05135
far,0.08174386920980926,0.11576354679802955,0.06666666666666667,0.1024390243902439,0.05865102639296188,-0.15227333333333337,-0.0495,-0.02160689655172414,-0.03080476190476191,-0.07435000000000003
successor,0.05714285714285714,0.046511627906976744,0.1956521739130435,0.06666666666666667,0.05263157894736842,0.2263,0.33335000000000004,0.2893666666666667,0.47685,0.2263
effective,0.15,0.08256880733944955,0.05,0.09565217391304348,0.12048192771084337,0.22282666666666665,0.38756666666666667,0.376675,0.2422272727272727,0.3848
open,0.09929078014184398,0.1320754716981132,0.11808118081180811,0.10963455149501661,0.09090909090909091,0.02957500000000001,0.08559714285714286,0.014575000000000005,-0.07743636363636362,0.05160000000000003
people,0.1950266429840142,0.14119718309859156,0.13149522799575822,0.12391831083419869,0.11639146194120016,-0.2272111111111113,-0.11985411471321701,-0.052750537634408595,-0.0671231843575419,-0.09319411764705882
locked,0.2903225806451613,0.2,0.2,0.19230769230769232,0.12121212121212122,-0.3324666666666667,-0.57702,-0.3742571428571428,0.052059999999999995,-0.556025
insurgent,0.1875,0.07142857142857142,0.14285714285714285,0.2,0.07692307692307693,-0.27416666666666667,0.0,-0.010325000000000015,-0.04625000000000002,0.4019
agreement,0.06532663316582915,0.091324200913242,0.12053571428571429,0.07971014492753623,0.04666666666666667,0.1832307692307692,0.39254,0.47622222222222227,0.2719,0.45001428571428564
vow,0.2857142857142857,0.05263157894736842,0.24,0.1111111111111111,0.10526315789473684,0.0586375,0.0,0.08828333333333332,0.3275,0.3243
fit,0.03389830508474576,0.0967741935483871,0.05555555555555555,0.08333333333333333,0.1388888888888889,-0.02554999999999996,0.12380000000000002,0.3586,0.3835,0.0040200000000000105
spending,0.10869565217391304,0.12380952380952381,0.06666666666666667,0.03723404255319149,0.03910614525139665,0.12410999999999994,0.16361923076923082,0.12017499999999999,0.13767142857142858,-0.032028571428571455
civil,0.0915032679738562,0.11239193083573487,0.09264305177111716,0.14084507042253522,0.07641196013289037,-0.2968107142857143,-0.181,-0.3138264705882353,-0.226758,-0.2603956521739131
room,0.0990990990990991,0.05851063829787234,0.0481283422459893,0.09045226130653267,0.08695652173913043,0.10083636363636363,0.17334545454545455,-0.05227777777777778,0.15352777777777776,0.027283333333333326
expand,0.17647058823529413,0.08695652173913043,0.16279069767441862,0.16,0.0975609756097561,0.30384,0.26175,0.4037071428571428,0.2865166666666667,0.503575
acting,0.11904761904761904,0.13043478260869565,0.15217391304347827,0.125,0.03333333333333333,0.0675,-0.2554666666666667,-0.21540000000000004,-0.07078333333333334,-0.34
break,0.1411764705882353,0.10476190476190476,0.1875,0.1553398058252427,0.09722222222222222,0.08013333333333333,0.0974090909090909,-0.06122222222222221,-0.028131250000000003,-0.06692857142857143
watchdog,0.05,0.15151515151515152,0.058823529411764705,0.05555555555555555,0.08571428571428572,0.0,0.33240000000000003,0.0,0.31845,0.2514
added,0.04335260115606936,0.04927536231884058,0.028205128205128206,0.0213903743315508,0.047619047619047616,-0.10406666666666668,0.039529411764705875,0.1597,0.03391250000000001,-0.1581
high,0.09659090909090909,0.08787878787878788,0.12146892655367232,0.12103746397694524,0.12138728323699421,-0.010994117647058826,-0.026189655172413787,-0.045537209302325576,0.02015238095238095,0.09770714285714285
black,0.1234866828087167,0.10548523206751055,0.13785557986870897,0.11389521640091116,0.07894736842105263,-0.26811568627450993,-0.17741000000000004,-0.16549047619047616,-0.1939599999999999,-0.21143666666666663
killing,0.38405797101449274,0.17682926829268292,0.20149253731343283,0.11347517730496454,0.22764227642276422,-0.7686037735849057,-0.7567965517241381,-0.7162148148148151,-0.7234875000000001,-0.7883321428571429
fruit,0.07407407407407407,0.0625,0.18181818181818182,0.02857142857142857,0.3333333333333333,-0.41695000000000004,0.0,-0.09752499999999999,0.0,-0.3037875
fatal,0.2222222222222222,0.1282051282051282,0.12,0.05405405405405406,0.09090909090909091,-0.4888125,-0.49396000000000007,-0.7230333333333334,-0.7291000000000001,-0.7387
emails,0.1258741258741259,0.2014388489208633,0.1111111111111111,0.0949367088607595,0.09259259259259259,-0.13863888888888887,-0.15812500000000002,-0.15139999999999998,-0.20554666666666666,-0.25782
attempt,0.17777777777777778,0.16778523489932887,0.15204678362573099,0.16923076923076924,0.053691275167785234,-0.3538791666666667,-0.19582800000000003,-0.047253846153846174,-0.20635454545454543,-0.1222625
absolutely,0.10526315789473684,0.14516129032258066,0.18518518518518517,0.17647058823529413,0.14814814814814814,0.22811666666666666,0.11945555555555552,0.31145,0.1504416666666667,-0.19848750000000004
religious,0.11688311688311688,0.14659685863874344,0.1111111111111111,0.20535714285714285,0.26495726495726496,-0.2342370370370371,-0.16903214285714288,-0.039819444444444435,0.04111739130434781,0.15132419354838705
jihadist,0.3,0.07692307692307693,0.12903225806451613,0.18604651162790697,0.13043478260869565,-0.5640999999999999,-0.25666666666666665,0.224525,0.026662499999999992,0.0
husband,0.08163265306122448,0.11904761904761904,0.13636363636363635,0.12698412698412698,0.11956521739130435,0.10073750000000001,-0.008413333333333325,-0.08659333333333334,-0.10300625,-0.4007818181818182
local,0.12472160356347439,0.12096774193548387,0.09416195856873823,0.1371527777777778,0.09090909090909091,-0.0809446428571428,-0.09241166666666671,0.036708,-0.12381139240506332,-0.05633684210526316
fresh,0.044444444444444446,0.16279069767441862,0.10416666666666667,0.06,0.14035087719298245,0.12890000000000001,0.28035714285714286,0.18778,0.0778,0.0284875
recover,0.1956521739130435,0.15151515151515152,0.11627906976744186,0.10256410256410256,0.14705882352941177,-0.31358888888888886,-0.34184000000000003,-0.39211999999999997,-0.06365000000000001,-0.12908
workers,0.21107266435986158,0.1610738255033557,0.10580204778156997,0.0935672514619883,0.09885931558935361,-0.17570819672131144,-0.0074374999999999684,-0.14965161290322582,-0.181940625,-0.09633461538461541
estimate,0.15789473684210525,0.06060606060606061,0.023809523809523808,0.0,0.08,-0.4335,-0.252975,-0.2732,0.0,-0.14535000000000003
racial,0.17567567567567569,0.36036036036036034,0.18604651162790697,0.13513513513513514,0.175,-0.17040769230769232,-0.29987249999999993,-0.2906916666666667,-0.2298,-0.3046952380952381
sort,0.14102564102564102,0.08974358974358974,0.1038961038961039,0.12371134020618557,0.05970149253731343,0.059027272727272734,-0.1231142857142857,-0.199675,-0.14126666666666665,-0.16787500000000002
passed,0.09714285714285714,0.12571428571428572,0.03592814371257485,0.16145833333333334,0.03571428571428571,-0.25226470588235295,0.1285272727272727,0.0057499999999999956,0.020074193548387107,-0.04308000000000001
cleared,0.2631578947368421,0.15384615384615385,0.18181818181818182,0.0,0.0,-0.12906,0.12925,0.22135000000000002,0.0,0.0
rates,0.07142857142857142,0.09302325581395349,0.05303030303030303,0.024691358024691357,0.05714285714285714,-0.26213,-0.22115833333333332,-0.2859571428571428,-0.7697,-0.60255
pushed,0.11458333333333333,0.08,0.1125,0.14473684210526316,0.09523809523809523,0.09111818181818182,-0.1421625,-0.013577777777777775,-0.06935454545454546,-0.1159
running,0.0472972972972973,0.05442176870748299,0.0670391061452514,0.12716763005780346,0.09090909090909091,-0.2630428571428572,0.017387499999999993,-0.02300833333333334,0.0945590909090909,-0.18383
fix,0.14035087719298245,0.09302325581395349,0.21951219512195122,0.037037037037037035,0.07317073170731707,0.048275,-0.530425,-0.1685888888888889,0.0,-0.15213333333333331
insurance,0.12811387900355872,0.12365591397849462,0.0776255707762557,0.05755395683453238,0.1016949152542373,-0.044477777777777776,-0.05300000000000001,-0.03688823529411768,-0.11063124999999999,0.03885000000000002
marches,0.038461538461538464,0.0,0.20588235294117646,0.17391304347826086,0.08,0.0,0.0,0.3617,0.23214999999999997,0.27115
discriminatory,0.16666666666666666,0.4090909090909091,0.0967741935483871,0.09523809523809523,0.19047619047619047,-0.27416,-0.26134999999999997,-0.158,-0.45420000000000005,-0.1308
suggest,0.06060606060606061,0.05747126436781609,0.08411214953271028,0.03333333333333333,0.05194805194805195,0.08739999999999999,-0.38008000000000003,-0.09507777777777776,-0.17446666666666666,-0.06977499999999999
parents,0.1341991341991342,0.12222222222222222,0.115,0.10970464135021098,0.07741935483870968,0.09723225806451612,-0.038136363636363614,-0.008395652173913044,-0.041026923076923086,-0.06992500000000001
economy,0.08823529411764706,0.10548523206751055,0.07317073170731707,0.05426356589147287,0.07048458149779736,0.019953333333333313,0.008419999999999992,0.15760555555555555,-0.10538571428571432,-0.08439375000000002
coordinated,0.15384615384615385,0.17647058823529413,0.2,0.3157894736842105,0.16666666666666666,-0.354325,-0.26496666666666663,-0.194075,-0.22624999999999998,-0.12726666666666667
planes,0.20512820512820512,0.0,0.047619047619047616,0.029411764705882353,0.06666666666666667,0.0038750000000000034,0.0,0.11175,0.2235,-0.19324999999999998
real,0.10510510510510511,0.09226190476190477,0.08086253369272237,0.08211143695014662,0.06802721088435375,-0.026171428571428564,0.03992580645161291,0.17368666666666668,0.005432142857142862,-0.133825
prejudice,0.17391304347826086,0.23076923076923078,0.3333333333333333,0.2857142857142857,0.2,-0.747325,-0.6754333333333333,-0.7755444444444445,-0.7429875,-0.7898799999999999
user,0.21428571428571427,0.21621621621621623,0.22727272727272727,0.18181818181818182,0.36363636363636365,-0.10043333333333337,0.06586249999999999,0.1613,0.016149999999999998,-0.12675
assume,0.05660377358490566,0.08333333333333333,0.10204081632653061,0.08333333333333333,0.029411764705882353,0.3554666666666666,0.11942500000000002,0.0256,0.277875,0.0
traveled,0.09615384615384616,0.04878048780487805,0.04411764705882353,0.0196078431372549,0.044444444444444446,-0.28674,0.125,-0.13076666666666667,0.128,0.27475
